team_id,team_name,division,year,wins,losses,ties
526333,A&M-Corpus Christi,1,2022,27,28,0
526763,AUM,2,2022,30,21,0
526339,Abilene Christian,1,2022,30,29,0
526767,Academy of Art,2,2022,15,35,0
526652,Adams St.,2,2022,8,34,0
526805,Adelphi,2,2022,30,15,2
527083,Adrian,3,2022,21,20,0
526288,Air Force,1,2022,32,29,0
526276,Akron,1,2022,15,41,0
526342,Alabama,1,2022,31,27,0
526340,Alabama A&M,1,2022,14,35,0
526806,Alabama Huntsville,2,2022,28,25,0
526341,Alabama St.,1,2022,34,25,0
526807,Albany St. (GA),2,2022,32,15,0
527015,Albertus Magnus,3,2022,10,24,0
527084,Albion,3,2022,15,24,0
527085,Albright,3,2022,1,36,0
526345,Alcorn,1,2022,2,39,0
526653,Alderson Broaddus,2,2022,7,37,0
527078,Alfred St.,3,2022,21,22,0
527086,Allegheny,3,2022,24,15,0
526688,Alliance,2,2022,0,29,0
527088,Alma,3,2022,11,28,0
526961,Alvernia,3,2022,18,24,1
526808,American Int'l,2,2022,11,34,0
527089,Amherst,3,2022,16,18,1
526962,Anderson (IN),3,2022,20,21,0
526739,Anderson (SC),2,2022,23,23,0
526809,Angelo St.,2,2022,51,14,0
527090,Anna Maria,3,2022,23,17,0
526346,App State,1,2022,20,33,0
526966,Arcadia,3,2022,40,9,0
526348,Arizona,1,2022,39,25,0
526347,Arizona St.,1,2022,26,32,0
526764,Ark.-Fort Smith,2,2022,16,28,0
526716,Ark.-Monticello,2,2022,23,24,0
526326,Ark.-Pine Bluff,1,2022,13,36,1
526350,Arkansas,1,2022,46,21,0
526349,Arkansas St.,1,2022,11,38,0
526654,Arkansas Tech,2,2022,27,23,0
526289,Army West Point,1,2022,31,25,0
535212,Asbury,3,2022,28,16,0
526810,Ashland,2,2022,35,21,0
526811,Assumption,2,2022,25,23,0
526352,Auburn,1,2022,43,22,0
527091,Augsburg,3,2022,14,25,0
526812,Augusta,2,2022,14,34,0
527092,Augustana (IL),3,2022,34,12,0
526813,Augustana (SD),2,2022,47,13,1
527093,Aurora,3,2022,36,11,0
526963,Austin,3,2022,8,28,0
526353,Austin Peay,1,2022,19,37,0
527094,Averett,3,2022,14,26,0
526776,Azusa Pacific,2,2022,38,19,0
526362,BYU,1,2022,33,21,0
527095,Babson,3,2022,24,15,0
527096,Baldwin Wallace,3,2022,37,13,0
526354,Ball St.,1,2022,40,19,0
526965,Bard,3,2022,15,17,0
526814,Barry,2,2022,18,31,0
526741,Barton,2,2022,26,26,0
527099,Baruch,3,2022,16,9,0
527097,Bates,3,2022,7,26,0
526356,Baylor,1,2022,26,28,0
527215,Belhaven,3,2022,28,16,0
526574,Bellarmine,1,2022,11,43,0
526331,Belmont,1,2022,39,20,0
526708,Belmont Abbey,2,2022,34,19,0
527098,Beloit,3,2022,16,23,0
526815,Bemidji St.,2,2022,6,40,0
526816,Benedict,2,2022,5,42,0
527175,Benedictine (IL),3,2022,26,13,0
526817,Bentley,2,2022,17,25,0
527079,Berea,3,2022,5,33,0
526967,Berry,3,2022,25,17,0
527100,Bethany (WV),3,2022,16,23,0
527059,Bethany Lutheran,3,2022,19,15,0
527101,Bethel (MN),3,2022,35,11,0
526357,Bethune-Cookman,1,2022,27,32,0
526358,Binghamton,1,2022,22,30,0
526795,Biola,2,2022,22,27,0
527051,Birmingham-So.,3,2022,41,10,0
527102,Blackburn,3,2022,10,28,0
526655,Bloomfield,2,2022,15,26,0
526818,Bloomsburg,2,2022,25,19,1
526656,Bluefield St.,2,2022,20,26,0
526968,Bluffton,3,2022,16,22,0
534961,Bob Jones,3,2022,10,31,0
526359,Boston College,1,2022,19,34,0
527103,Bowdoin,3,2022,16,19,0
526360,Bowling Green,1,2022,18,34,0
526361,Bradley,1,2022,20,29,0
527104,Brandeis,3,2022,18,16,0
526837,Brevard,3,2022,21,15,0
526819,Bridgeport,2,2022,19,28,0
527105,Bridgewater (VA),3,2022,26,17,0
527106,Bridgewater St.,3,2022,30,15,0
526363,Brown,1,2022,13,23,0
526364,Bryant,1,2022,30,27,0
526365,Bucknell,1,2022,22,26,0
527108,Buena Vista,3,2022,27,14,0
526366,Butler,1,2022,20,35,1
526848,CCNY,3,2022,8,25,0
526368,CSU Bakersfield,1,2022,18,34,0
526711,CSU Pueblo,2,2022,27,26,0
526372,CSUN,1,2022,32,22,0
526822,CSUSB,2,2022,27,27,0
526793,CUI,2,2022,26,23,1
527117,CWRU,3,2022,23,17,0
527109,Cabrini,3,2022,31,11,0
526997,Cairn,3,2022,25,16,0
527111,Cal Lutheran,3,2022,30,16,0
526367,Cal Poly,1,2022,37,21,0
526820,Cal Poly Pomona,2,2022,35,19,0
526821,Cal St. Dom. Hills,2,2022,28,27,0
526824,Cal St. East Bay,2,2022,24,26,0
526370,Cal St. Fullerton,1,2022,22,33,0
526756,Cal St. Monterey Bay,2,2022,38,17,0
526792,Cal St. San Marcos,2,2022,18,32,0
526825,Cal State LA,2,2022,21,29,0
526657,Caldwell,2,2022,15,25,0
526375,California,1,2022,29,27,0
526827,California (PA),2,2022,31,17,0
526338,California Baptist,1,2022,36,20,0
527110,Caltech,3,2022,6,32,0
527112,Calvin,3,2022,19,18,0
526658,Cameron,2,2022,14,34,0
526380,Campbell,1,2022,41,19,0
526381,Canisius,1,2022,29,25,0
527113,Capital,3,2022,10,29,0
527114,Carleton,3,2022,10,23,0
527115,Carroll (WI),3,2022,18,23,0
526659,Carson-Newman,2,2022,28,24,0
527116,Carthage,3,2022,15,25,0
526660,Catawba,2,2022,31,24,0
527119,Catholic,3,2022,34,16,0
527044,Cazenovia,3,2022,10,20,0
526768,Cedarville,2,2022,21,26,0
527120,Centenary (LA),3,2022,27,19,0
527032,Centenary (NJ),3,2022,15,24,0
527121,Central (IA),3,2022,16,23,0
526316,Central Ark.,1,2022,24,29,0
526382,Central Conn. St.,1,2022,29,18,0
526384,Central Mich.,1,2022,43,19,0
526828,Central Mo.,2,2022,46,9,0
526661,Central Okla.,2,2022,29,21,0
526662,Central Wash.,2,2022,14,35,0
527122,Centre,3,2022,17,25,0
527123,Chapman,3,2022,35,14,0
526663,Charleston (WV),2,2022,40,18,0
526355,Charleston So.,1,2022,24,30,0
526485,Charlotte,1,2022,36,22,0
527028,Chatham,3,2022,13,25,0
526744,Chestnut Hill,2,2022,20,24,0
526823,Chico St.,2,2022,34,15,0
