,unitid,inst_name,state_abbr,zip,latitude,longitude,url_athletes,member_conf_baseball,member_ncaa,member_naia,member_njcaa,conf_number_baseball,est_fte,level_of_study,ftpt,income_level,average_grant,net_price,reqt_test_scores,sat_crit_read_75_pctl,sat_math_75_pctl,CONFNO3,Conference Name,School,...1.x,instnm,stabbr,city,zip.y,region,control,relaffil,latitude.y,longitude.y,ugds,ugds_men,ugds_women,insturl,tuitionfee_in,tuitionfee_out,locale,adm_rate,sat_avg,ugds_whitenh,admcon7,ret_ft4,hi_inc_debt_mdn,md_faminc,md_earn_wne_p10,npt4_pub,npt4_priv,npt45_pub,npt45_priv,costt4_a,endowend,stufacr,year.x,...1.y,team_id,year.y,NCAA_name.x,conference_id,conference,division,season_id,prev_team_id,Nickname,NCAA_name.y,division.x,year,wins,losses,ties,team_name.y,division.y,season,total_players,avg_p_height_in,avg_other_height_in,count_Fr,count_So,count_Jr,count_Sr,count_Other,top_state_1,top_state_2,top_state_3,top_state_1_count,top_state_2_count,top_state_3_count
1,100654,Alabama A & M University,AL,35762,34.783368,-86.568502,NA,Yes,Yes,No,No,133,4315,Undergraduate,Full-time,$110 ,5628,17539,Considered,520,510,133,Southwestern Athletic Conference,Alabama A & M University,1,Alabama A & M University,AL,Normal,35762,5,1,NA,34.783368,-86.568502,5726,0.4172,0.5828,www.aamu.edu/,10024,18634,12,0.6622,947,NA,5,0.6387,15000,23553,40628,14559,NA,18200,NA,23751,NA,19,latest,160,596478,2025,Alabama A&M,916,SWAC,1,16779,6,Bulldogs,Alabama A&M,1,2025,10,40,0,Alabama A&M,1,2025,38,72.92857143,71.65217391,6,6,15,11,0,GA,AL,FL,8,6,5
2,100663,University of Alabama at Birmingham,AL,35294-0110,33.505697,-86.799345,https://www.uab.edu/registrar/students,Yes,Yes,No,No,111,12105,Undergraduate,Full-time,$110 ,6915,19342,Considered,680,708,111,Conference USA,University of Alabama at Birmingham,2,University of Alabama at Birmingham,AL,Birmingham,35294-0110,5,1,NA,33.505697,-86.799345,12118,0.3737,0.6263,https://www.uab.edu/,8832,21864,12,0.8842,1251,NA,5,0.8195,15000,34489,54501,17727,NA,21326,NA,27826,739372914,18,latest,12804,596481,2025,UAB,823,The American,1,16779,9,Blazers,UAB,1,2025,24,30,0,UAB,1,2025,43,73.9047619,72.36363636,9,6,17,11,0,AL,GA,TN,23,5,3
3,100706,University of Alabama in Huntsville,AL,35899,34.724557,-86.640449,www.uah.edu/heoa,Yes,Yes,No,No,146,6847,Undergraduate,Full-time,$110 ,5310,20467,Required,700,720,146,Gulf South Conference,University of Alabama in Huntsville,3,University of Alabama in Huntsville,AL,Huntsville,35899,5,1,NA,34.724557,-86.640449,6650,0.6096,0.3904,www.uah.edu/,11770,24662,12,0.7425,1321,NA,5,0.805,13954,44787,61767,19880,NA,21937,NA,27098,99627019,17,latest,176,596851,2025,Alabama Huntsville,858,Gulf South,2,16779,10,Chargers,Alabama Huntsville,2,2025,19,28,0,Alabama Huntsville,2,2025,44,75.66666667,75,15,6,10,13,0,AL,TN,Canada,12,3,1
4,100724,Alabama State University,AL,36104-0271,32.364317,-86.295677,www.alasu.edu/cost-aid/consumer-info,Yes,Yes,No,No,133,3394,Undergraduate,Full-time,$110 ,6310,15590,Considered,534,516,133,Southwestern Athletic Conference,Alabama State University,4,Alabama State University,AL,Montgomery,36104-0271,5,1,NA,32.364317,-86.295677,3322,0.3624,0.6376,www.alasu.edu/,11248,19576,12,0.9564,977,NA,5,0.6045,18500,22080,34502,13889,NA,11863,NA,22028,118616285,16,latest,192,596479,2025,Alabama St.,916,SWAC,1,16779,7,Hornets,Alabama St.,1,2025,31,29,0,Alabama St.,1,2025,45,73.18181818,70.73913043,12,9,15,9,0,AL,GA,FL,10,7,6
5,100751,The University of Alabama,AL,35487-0100,33.211875,-87.545978,registrar.ua.edu/academics-policies/student-right-to-know/,Yes,Yes,No,No,130,29637,Undergraduate,Full-time,$110 ,7093,23931,Considered,680,690,130,Southeastern Conference,The University of Alabama,5,The University of Alabama,AL,Tuscaloosa,35487-0100,5,1,NA,33.211875,-87.545978,32323,0.4395,0.5605,www.ua.edu/,11900,33200,12,0.7582,1287,NA,5,0.8609,17750,66733,59221,22150,NA,25773,NA,32024,1369440098,19,latest,144,596480,2025,Alabama,911,SEC,1,16779,8,Crimson Tide,Alabama,1,2025,41,18,0,Alabama,1,2025,48,74.73333333,72.5,13,12,11,12,0,AL,GA,FL,17,5,3
6,100830,Auburn University at Montgomery,AL,36117-3596,32.36736,-86.177544,www.aum.edu/academics/institutional-effectiveness/consumer-information,Yes,Yes,No,No,146,3355,Undergraduate,Full-time,$110 ,5702,14069,Required,595,565,146,Gulf South Conference,Auburn University at Montgomery,6,Auburn University at Montgomery,AL,Montgomery,36117-3596,5,1,NA,32.36736,-86.177544,2693,0.339,0.661,www.aum.edu/,9436,20092,12,0.9263,1090,NA,5,0.658,12500,29671,44391,14596,NA,16075,NA,21873,60862957,15,latest,24,596813,2025,AUM,858,Gulf South,2,16779,30093,Warhawks,AUM,2,2025,14,33,0,AUM,2,2025,37,73.33333333,71.5,8,0,15,14,0,AL,GA,FL,12,3,1
7,100858,Auburn University,AL,36849,32.599378,-85.488258,https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html,Yes,Yes,No,No,130,24362,Undergraduate,Full-time,$110 ,4774,28876,Recommended,NA,NA,130,Southeastern Conference,Auburn University,7,Auburn University,AL,Auburn,36849,5,1,NA,32.599378,-85.488258,25732,0.4995,0.5005,www.auburn.edu/,12536,33944,13,0.5047,1318,NA,5,0.9319,16750,72031,65337,23897,NA,29310,NA,34402,1010419784,21,latest,690,596489,2025,Auburn,911,SEC,1,16779,37,Tigers,Auburn,1,2025,41,20,0,Auburn,1,2025,40,73.81818182,72.61111111,14,10,7,9,0,AL,GA,CA,13,9,3
8,101435,Huntingdon College,AL,36106-2148,32.351034,-86.284366,NA,Yes,Yes,No,No,171,790,Undergraduate,Full-time,$110 ,13809,25908,Considered,560,510,171,USA South Athletic Conference,Huntingdon College,8,Huntingdon College,AL,Montgomery,36106-2148,5,2,71,32.351034,-86.284366,865,0.5653,0.4347,https://www.huntingdon.edu/,28650,28650,12,0.7083,1148,NA,5,0.6667,15250,37577,49601,NA,21401,NA,24993,39686,53910160,14,latest,5304,597114,2025,Huntingdon,30251,CCS,3,16779,1130,Hawks,Huntingdon,3,2025,23,21,0,Huntingdon,3,2025,50,NA,NA,15,13,17,5,0,AL,FL,GA,18,2,2
9,101480,Jacksonville State University,AL,36265,33.822938,-85.765321,www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance,Yes,Yes,No,No,135,6918,Undergraduate,Full-time,$110 ,133,22020,Considered,580,660,135,Atlantic Sun Conference,Jacksonville State University,9,Jacksonville State University,AL,Jacksonville,36265,5,1,NA,33.822938,-85.765321,7030,0.403,0.597,https://www.jsu.edu/,12426,22716,23,0.7622,1055,NA,5,0.6442,14000,35734,45235,14850,NA,18079,NA,23422,15423462,19,latest,5587,596571,2025,Jacksonville St.,24312,CUSA,1,16779,315,Gamecocks,Jacksonville St.,1,2025,37,25,0,Jacksonville St.,1,2025,46,74.11538462,72.89473684,10,8,24,4,0,AL,GA,MS,14,10,5
10,101587,University of West Alabama,AL,35470,32.588132,-88.186329,https://catalog.uwa.edu/content.php?catoid=35&navoid=1581&hl=Student+Right+to+Know&returnto=search,Yes,Yes,No,No,146,2153,Undergraduate,Full-time,$110 ,6751,15705,Required,470,510,146,Gulf South Conference,University of West Alabama,10,University of West Alabama,AL,Livingston,35470,5,1,NA,32.588132,-88.186329,2666,0.2888,0.7112,www.uwa.edu/,10990,20090,43,0.8711,1015,NA,5,0.6075,13000,25552,44232,13832,NA,16755,NA,22402,429016,17,latest,14038,596900,2025,West Ala.,858,Gulf South,2,16779,358,Tigers,West Ala.,2,2025,31,25,0,West Ala.,2,2025,46,73.75,71.29166667,8,3,18,15,2,AL,MS,FL,10,4,3
