"prev_team_id","School","Year","team_id","Head_Coach","people_id","Division","Conference","Wins","Losses","Ties","WL_pct","Notes","Current_Team","Seasons_Coaching","Seasons_At_Team","Total_Wins","Total_Losses","Total_Ties","Coach_Stats_URL"
2,"NCAA Statistics","2025-26","614845","Rick McCarty","2110406","D-I","WAC",0,0,0,".000","",2,8,8,201,156,0,"https://stats.ncaa.org/people/2110406"
3,"NCAA Statistics","2025-26","614999","Mike Gaffney","43796","D-II","NE10",0,0,0,".000","",3,1,1,0,0,0,"https://stats.ncaa.org/people/43796"
4,"NCAA Statistics","2025-26","615139","Craig Rainey","4959","D-III","Michigan Intercol. Ath. Assn.",0,0,0,".000","",4,33,33,843,510,0,"https://stats.ncaa.org/people/4959"
5,"NCAA Statistics","2025-26","614787","Bryan Faulds","2660028","D-I","MAC",0,0,0,".000","",5,5,3,107,116,0,"https://stats.ncaa.org/people/2660028"
6,"NCAA Statistics","2025-26","614846","Louis Whitlow","3074634","D-I","SWAC",0,0,0,".000","",6,2,2,10,40,0,"https://stats.ncaa.org/people/3074634"
7,"NCAA Statistics","2025-26","614847","Jose Vazquez","45672","D-I","SWAC",0,0,0,".000","",7,10,10,261,195,0,"https://stats.ncaa.org/people/45672"
8,"NCAA Statistics","2025-26","614848","Rob Vaughn","1956464","D-I","SEC",0,0,0,".000","",8,9,3,257,159,0,"https://stats.ncaa.org/people/1956464"
9,"NCAA Statistics","2025-26","614849","Casey Dunn","22921","D-I","American",0,0,0,".000","",9,22,5,548,542,0,"https://stats.ncaa.org/people/22921"
10,"NCAA Statistics","2025-26","615000","Hunter Royer","38204","D-II","Gulf South",0,0,0,".000","",10,17,17,445,313,2,"https://stats.ncaa.org/people/38204"
13,"NCAA Statistics","2025-26","615001","Brandon Hemmings","46148","D-II","SIAC",0,0,0,".000","",13,10,10,237,145,0,"https://stats.ncaa.org/people/46148"
14,"NCAA Statistics","2025-26","614850","Jon Mueller","6233","D-I","America East",0,0,0,".000","",14,27,27,522,730,8,"https://stats.ncaa.org/people/6233"
15,"NCAA Statistics","2025-26","615140","Matt Rix","30907","D-III","Michigan Intercol. Ath. Assn.",0,0,0,".000","",15,8,2,96,163,0,"https://stats.ncaa.org/people/30907"
16,"NCAA Statistics","2025-26","615141","Jeff Feiler","10565","D-III","MAC Commonwealth",0,0,0,".000","",16,28,28,310,593,3,"https://stats.ncaa.org/people/10565"
17,"NCAA Statistics","2025-26","614851","Carlton Hardy","4755","D-I","SWAC",0,0,0,".000","",17,27,2,473,627,1,"https://stats.ncaa.org/people/4755"
18,"NCAA Statistics","2025-26","615289","Brian Kehew","2111110","D-III","Empire 8",0,0,0,".000","",18,3,3,5,64,0,"https://stats.ncaa.org/people/2111110"
19,"NCAA Statistics","2025-26","615142","Brandon Crum","1971825","D-III","PAC",0,0,0,".000","",19,9,9,151,116,0,"https://stats.ncaa.org/people/1971825"
20,"NCAA Statistics","2025-26","615143","Bryan Torresani","41603","D-III","MAC Freedom",0,0,0,".000","",20,12,1,265,156,0,"https://stats.ncaa.org/people/41603"
21,"NCAA Statistics","2025-26","615144","Jason Crain","2109967","D-III","Michigan Intercol. Ath. Assn.",0,0,0,".000","",21,8,8,121,136,1,"https://stats.ncaa.org/people/2109967"
22,"NCAA Statistics","2025-26","615002","Nick Callini","21518","D-II","NE10",0,0,0,".000","",22,23,23,298,582,1,"https://stats.ncaa.org/people/21518"
24,"NCAA Statistics","2025-26","615145","J.P. Pyne","24239","D-III","NESCAC",0,0,0,".000","",24,13,8,221,171,3,"https://stats.ncaa.org/people/24239"
25,"NCAA Statistics","2025-26","615003","Kevin Brooks","24634","D-II","Lone Star",0,0,0,".000","",25,22,22,836,364,0,"https://stats.ncaa.org/people/24634"
26,"NCAA Statistics","2025-26","615146","Dan Briand","1971771","D-III","MASCAC",0,0,0,".000","",26,9,9,138,146,0,"https://stats.ncaa.org/people/1971771"
27,"NCAA Statistics","2025-26","614852","Kermit Smith","6462","D-I","Sun Belt",0,0,0,".000","",27,25,10,669,610,2,"https://stats.ncaa.org/people/6462"
28,"NCAA Statistics","2025-26","614853","Willie Bloomquist","2632448","D-I","Big 12",0,0,0,".000","",28,5,5,126,105,0,"https://stats.ncaa.org/people/2632448"
29,"NCAA Statistics","2025-26","614767","Chip Hale","2632450","D-I","Big 12",0,0,0,".000","",29,5,5,152,95,0,"https://stats.ncaa.org/people/2632450"
30,"NCAA Statistics","2025-26","614854","Mike Silva","2633362","D-I","Sun Belt",0,0,0,".000","",30,5,2,124,99,0,"https://stats.ncaa.org/people/2633362"
31,"NCAA Statistics","2025-26","614855","Dave Van Horn","5075","D-I","SEC",0,0,0,".000","",31,33,24,1304,640,0,"https://stats.ncaa.org/people/5075"
32,"NCAA Statistics","2025-26","614856","Chris Curry","43528","D-I","OVC",0,0,0,".000","",32,12,12,264,297,0,"https://stats.ncaa.org/people/43528"
35,"NCAA Statistics","2025-26","615004","John Schaly","9577","D-II","G-MAC",0,0,0,".000","",35,39,29,1351,740,4,"https://stats.ncaa.org/people/9577"
36,"NCAA Statistics","2025-26","615005","Mike Rocco","38428","D-II","NE10",0,0,0,".000","",36,16,13,209,359,3,"https://stats.ncaa.org/people/38428"
37,"NCAA Statistics","2025-26","614857","Butch Thompson","44893","D-I","SEC",0,0,0,".000","",37,11,11,324,233,1,"https://stats.ncaa.org/people/44893"
38,"NCAA Statistics","2025-26","615147","Keith Bateman","21682","D-III","MIAC",0,0,0,".000","",38,23,23,349,445,1,"https://stats.ncaa.org/people/21682"
39,"NCAA Statistics","2025-26","615006","Chris Howell","46030","D-II","Peach Belt",0,0,0,".000","",39,10,10,143,258,0,"https://stats.ncaa.org/people/46030"
40,"NCAA Statistics","2025-26","615148","Greg Wallace","5624","D-III","CCIW",0,0,0,".000","",40,33,29,868,425,2,"https://stats.ncaa.org/people/5624"
41,"NCAA Statistics","2025-26","615007","Tim Huber","35545","D-II","NSIC",0,0,0,".000","",41,18,18,633,282,1,"https://stats.ncaa.org/people/35545"
42,"NCAA Statistics","2025-26","615149","Adam Stevens","18332","D-III","NACC",0,0,0,".000","",42,23,12,573,333,0,"https://stats.ncaa.org/people/18332"
43,"NCAA Statistics","2025-26","614858","Roland Fanning","2797904","D-I","ASUN",0,0,0,".000","",43,4,4,106,67,0,"https://stats.ncaa.org/people/2797904"
44,"NCAA Statistics","2025-26","615150","",NA,"D-III","ODAC",0,0,0,".000","",44,167,1,17016,15164,298,"https://stats.ncaa.org/people/NA"
45,"NCAA Statistics","2025-26","615151","Matt Noone","10607","D-III","NEWMAC",0,0,0,".000","",45,24,24,525,338,2,"https://stats.ncaa.org/people/10607"
46,"NCAA Statistics","2025-26","615152","Brian Harrison","38196","D-III","OAC",0,0,0,".000","",46,16,16,410,215,1,"https://stats.ncaa.org/people/38196"
47,"NCAA Statistics","2025-26","614859","Rich Maloney","7463","D-I","MAC",0,0,0,".000","",47,31,21,1024,668,2,"https://stats.ncaa.org/people/7463"
48,"NCAA Statistics","2025-26","614860","Karl Kuhn","2299286","D-I","Big South",0,0,0,".000","",48,5,2,78,86,0,"https://stats.ncaa.org/people/2299286"
49,"NCAA Statistics","2025-26","615008","D.J. Price","2996093","D-II","Sunshine State",0,0,0,".000","",49,2,2,24,26,0,"https://stats.ncaa.org/people/2996093"
50,"NCAA Statistics","2025-26","615153","Jon Martin","29274","D-III","NESCAC",0,0,0,".000","",50,21,10,228,398,1,"https://stats.ncaa.org/people/29274"
51,"NCAA Statistics","2025-26","614861","Mitch Thompson","2705708","D-I","Big 12",0,0,0,".000","",51,4,4,75,88,0,"https://stats.ncaa.org/people/2705708"
52,"NCAA Statistics","2025-26","614754","Ben Reel","3058368","D-I","ASUN",0,0,0,".000","",52,2,2,17,38,0,"https://stats.ncaa.org/people/3058368"
53,"NCAA Statistics","2025-26","615154","Dave DeGeorge","5045","D-III","MWC",0,0,0,".000","",53,36,36,585,587,2,"https://stats.ncaa.org/people/5045"
54,"NCAA Statistics","2025-26","615009","Matt Ellinghuysen","2565701","D-II","NSIC",0,0,0,".000","",54,5,5,18,173,0,"https://stats.ncaa.org/people/2565701"
55,"NCAA Statistics","2025-26","615010","Selwyn Young","38335","D-II","SIAC",0,0,0,".000","",55,17,17,303,289,0,"https://stats.ncaa.org/people/38335"
56,"NCAA Statistics","2025-26","615011","Mike Hill","2830120","D-II","NE10",0,0,0,".000","",56,4,4,85,56,0,"https://stats.ncaa.org/people/2830120"
58,"NCAA Statistics","2025-26","615155","Jose Torres","29136","D-III","CUNYAC",0,0,0,".000","",58,21,21,260,350,2,"https://stats.ncaa.org/people/29136"
59,"NCAA Statistics","2025-26","615156","Michael Finlan","2906742","D-III","PAC",0,0,0,".000","",59,3,3,22,51,1,"https://stats.ncaa.org/people/2906742"
60,"NCAA Statistics","2025-26","615157","Brian Raabe","39962","D-III","MIAC",0,0,0,".000","",60,15,15,354,187,0,"https://stats.ncaa.org/people/39962"
61,"NCAA Statistics","2025-26","614862","Jonathan Hernandez","2110232","D-I","SWAC",0,0,0,".000","",61,8,8,152,159,0,"https://stats.ncaa.org/people/2110232"
62,"NCAA Statistics","2025-26","614863","Tim Sinicki","8066","D-I","America East",0,0,0,".000","",62,34,34,727,746,9,"https://stats.ncaa.org/people/8066"
64,"NCAA Statistics","2025-26","615158","Jacob Kraft","2995802","D-III","SLIAC",0,0,0,".000","",64,2,2,7,30,0,"https://stats.ncaa.org/people/2995802"
65,"NCAA Statistics","2025-26","615012","Mike Collins","25456","D-II","PSAC",0,0,0,".000","",65,21,21,423,452,2,"https://stats.ncaa.org/people/25456"
67,"NCAA Statistics","2025-26","614864","Todd Interdonato","32525","D-I","ACC",0,0,0,".000","",67,19,3,505,481,1,"https://stats.ncaa.org/people/32525"
69,"NCAA Statistics","2025-26","615159","Mike Connolly","10664","D-III","NESCAC",0,0,0,".000","",69,28,28,474,413,4,"https://stats.ncaa.org/people/10664"
71,"NCAA Statistics","2025-26","614865","Kyle Hallock","2467187","D-I","MAC",0,0,0,".000","",71,6,6,124,136,0,"https://stats.ncaa.org/people/2467187"
72,"NCAA Statistics","2025-26","614866","Elvis Dominguez","5377","D-I","MVC",0,0,0,".000","",72,25,18,542,652,4,"https://stats.ncaa.org/people/5377"
73,"NCAA Statistics","2025-26","615160","Derek Carlson","19393","D-III","UAA",0,0,0,".000","",73,24,11,366,462,3,"https://stats.ncaa.org/people/19393"
74,"NCAA Statistics","2025-26","615013","Joseph Tonelli","6253","D-II","CACC",0,0,0,".000","",74,27,14,406,556,5,"https://stats.ncaa.org/people/6253"
75,"NCAA Statistics","2025-26","615161","Ben Spotts","40895","D-III","ODAC",0,0,0,".000","",75,14,7,237,244,2,"https://stats.ncaa.org/people/40895"
76,"NCAA Statistics","2025-26","615162","Greg Zackrison","2111108","D-III","MASCAC",0,0,0,".000","",76,8,8,148,106,0,"https://stats.ncaa.org/people/2111108"
77,"NCAA Statistics","2025-26","614867","Trent Pratt","2695894","D-I","Big 12",0,0,0,".000","",77,4,4,73,86,0,"https://stats.ncaa.org/people/2695894"
78,"NCAA Statistics","2025-26","615163","Nick Pontari","2658093","D-III","Empire 8",0,0,0,".000","",78,5,1,82,84,1,"https://stats.ncaa.org/people/2658093"
80,"NCAA Statistics","2025-26","614868","Frank Holbrook","2112003","D-I","Ivy League",0,0,0,".000","",80,6,1,117,51,1,"https://stats.ncaa.org/people/2112003"
81,"NCAA Statistics","2025-26","614869","Ryan Klosterman","2298578","D-I","America East",0,0,0,".000","",81,7,7,159,116,2,"https://stats.ncaa.org/people/2298578"
83,"NCAA Statistics","2025-26","614563","Scott Heather","41465","D-I","Patriot",0,0,0,".000","",83,14,14,241,331,4,"https://stats.ncaa.org/people/41465"
84,"NCAA Statistics","2025-26","615164","Steve Eddie","7890","D-III","American Rivers",0,0,0,".000","",84,26,26,586,409,3,"https://stats.ncaa.org/people/7890"
87,"NCAA Statistics","2025-26","614564","Blake Beemer","2798572","D-I","Big East",0,0,0,".000","",87,4,4,47,117,0,"https://stats.ncaa.org/people/2798572"
89,"NCAA Statistics","2025-26","615165","Frank Craska","3156405","D-III","SCIAC",0,0,0,".000","",89,1,1,0,0,0,"https://stats.ncaa.org/people/3156405"
90,"NCAA Statistics","2025-26","614565","Larry Lee","11471","D-I","Big West",0,0,0,".000","",90,24,24,713,552,2,"https://stats.ncaa.org/people/11471"
91,"NCAA Statistics","2025-26","615014","Randy Betten","38594","D-II","CCAA",0,0,0,".000","",91,16,16,431,300,0,"https://stats.ncaa.org/people/38594"
92,"NCAA Statistics","2025-26","615015","Tyler Wright","44974","D-II","CCAA",0,0,0,".000","",92,11,11,182,240,0,"https://stats.ncaa.org/people/44974"
93,"NCAA Statistics","2025-26","615016","Mike Nadeau","1964500","D-II","CCAA",0,0,0,".000","",93,9,9,162,175,0,"https://stats.ncaa.org/people/1964500"
94,"NCAA Statistics","2025-26","614566","Jordon Banfield","2467203","D-I","Big West",0,0,0,".000","",94,6,2,127,152,0,"https://stats.ncaa.org/people/2467203"
95,"NCAA Statistics","2025-26","615017","David Taylor","20580","D-II","CCAA",0,0,0,".000","",95,22,20,648,380,1,"https://stats.ncaa.org/people/20580"
96,"NCAA Statistics","2025-26","614768","Ryan Overland","2823527","D-I","Mountain West",0,0,0,".000","",96,4,4,94,85,0,"https://stats.ncaa.org/people/2823527"
97,"NCAA Statistics","2025-26","614567","Jason Dietrich","2632477","D-I","Big West",0,0,0,".000","",97,5,5,99,122,0,"https://stats.ncaa.org/people/2632477"
98,"NCAA Statistics","2025-26","615018","Mike Cummins","10467","D-II","CCAA",0,0,0,".000","",98,20,10,379,515,0,"https://stats.ncaa.org/people/10467"
99,"NCAA Statistics","2025-26","614568","T.J. Bruce","44892","D-I","Big West",0,0,0,".000","",99,9,2,193,199,0,"https://stats.ncaa.org/people/44892"
100,"NCAA Statistics","2025-26","615019","Vince Beringhele","33815","D-II","CCAA",0,0,0,".000","",100,19,19,396,418,0,"https://stats.ncaa.org/people/33815"
101,"NCAA Statistics","2025-26","614569","Eddie Cornejo","2798027","D-I","Big West",0,0,0,".000","",101,4,4,79,75,0,"https://stats.ncaa.org/people/2798027"
102,"NCAA Statistics","2025-26","614570","Reggie Christiansen","7437","D-I","WAC",0,0,0,".000","",102,21,16,565,530,0,"https://stats.ncaa.org/people/7437"
103,"NCAA Statistics","2025-26","615020","Kenny Leonesio","14082","D-II","CCAA",0,0,0,".000","",103,24,24,520,574,3,"https://stats.ncaa.org/people/14082"
104,"NCAA Statistics","2025-26","614571","Andrew Checketts","39228","D-I","Big West",0,0,0,".000","",104,15,15,491,265,5,"https://stats.ncaa.org/people/39228"
105,"NCAA Statistics","2025-26","615166","Erik Scherer","2865724","D-III","SCIAC",0,0,0,".000","",105,3,3,56,30,0,"https://stats.ncaa.org/people/2865724"
106,"NCAA Statistics","2025-26","615021","Joey Noro","3135865","D-II","PSAC",0,0,0,".000","",106,1,1,0,0,0,"https://stats.ncaa.org/people/3135865"
107,"NCAA Statistics","2025-26","614572","Mike Neu","44909","D-I","ACC",0,0,0,".000","",107,11,9,251,249,0,"https://stats.ncaa.org/people/44909"
108,"NCAA Statistics","2025-26","614573","Tommy Nicholson","2662582","D-I","Big West",0,0,0,".000","",108,5,5,79,127,0,"https://stats.ncaa.org/people/2662582"
109,"NCAA Statistics","2025-26","614574","Ben Orloff","2110548","D-I","Big West",0,0,0,".000","",109,8,8,246,114,0,"https://stats.ncaa.org/people/2110548"
110,"NCAA Statistics","2025-26","614575","John Savage","6198","D-I","Big Ten",0,0,0,".000","",110,25,22,812,565,3,"https://stats.ncaa.org/people/6198"
111,"NCAA Statistics","2025-26","614576","Justin Johnson","2467265","D-I","Big West",0,0,0,".000","",111,6,6,66,194,0,"https://stats.ncaa.org/people/2467265"
112,"NCAA Statistics","2025-26","614755","Eric Newman","24539","D-I","Big West",0,0,0,".000","",112,18,15,542,360,0,"https://stats.ncaa.org/people/24539"
114,"NCAA Statistics","2025-26","615167","Joel Schipper","2990885","D-III","Michigan Intercol. Ath. Assn.",0,0,0,".000","",114,2,2,23,18,0,"https://stats.ncaa.org/people/2990885"
115,"NCAA Statistics","2025-26","614577","Chris Marx","2996109","D-I","CAA",0,0,0,".000","",115,2,2,25,31,0,"https://stats.ncaa.org/people/2996109"
116,"NCAA Statistics","2025-26","614578","Matt Mazurek","1956154","D-I","MAAC",0,0,0,".000","",116,9,9,169,189,2,"https://stats.ncaa.org/people/1956154"
117,"NCAA Statistics","2025-26","615168","Scott Manahan","2543069","D-III","OAC",0,0,0,".000","",117,5,5,41,112,0,"https://stats.ncaa.org/people/2543069"
118,"NCAA Statistics","2025-26","615169","Alec Holcomb","2805862","D-III","MIAC",0,0,0,".000","",118,4,4,32,70,0,"https://stats.ncaa.org/people/2805862"
120,"NCAA Statistics","2025-26","615170","Stein Rear","38298","D-III","CCIW",0,0,0,".000","",120,16,13,224,312,0,"https://stats.ncaa.org/people/38298"
121,"NCAA Statistics","2025-26","615171","Augie Schmidt IV","19436","D-III","CCIW",0,0,0,".000","",121,39,39,1032,565,5,"https://stats.ncaa.org/people/19436"
122,"NCAA Statistics","2025-26","615172","Matt Englander","31564","D-III","UAA",0,0,0,".000","",122,20,20,449,298,3,"https://stats.ncaa.org/people/31564"
123,"NCAA Statistics","2025-26","615173","Tony Deshler","3135946","D-III","Little East",0,0,0,".000","",123,1,1,0,0,0,"https://stats.ncaa.org/people/3135946"
124,"NCAA Statistics","2025-26","615174","Ross Natoli","7610","D-III","Landmark",0,0,0,".000","",124,41,41,835,698,18,"https://stats.ncaa.org/people/7610"
125,"NCAA Statistics","2025-26","615175","Mike Diaz","38191","D-III","SCAC",0,0,0,".000","",125,16,16,339,255,1,"https://stats.ncaa.org/people/38191"
126,"NCAA Statistics","2025-26","615176","Adam Carey","2865726","D-III","American Rivers",0,0,0,".000","",126,3,3,33,44,0,"https://stats.ncaa.org/people/2865726"
127,"NCAA Statistics","2025-26","614579","Charlie Hickey","4799","D-I","NEC",0,0,0,".000","",127,27,27,694,581,5,"https://stats.ncaa.org/people/4799"
128,"NCAA Statistics","2025-26","614580","Rich Wallace","2865729","D-I","Big 12",0,0,0,".000","",128,3,3,66,47,0,"https://stats.ncaa.org/people/2865729"
